Product Name,Product Currency,Product Price,Product Brand,Product Description,Product Page Link,Product Image Link,Category,Sub-Category,Rating,Source,Available,Delivery,Release Date
Durex Performax Intense - 3 Pcs,EGP,35,Durex,"-Brand: Durex 
-Name: Performax Intense 
-Size:  3 Pcs 
",https://www.jumia.com.eg/performax-intense-3-pcs-durex-mpg816288.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/707712/1.jpg?1348,Supermarket,Household Supplies,4.2 out of 5,Jumia,True,True,"September 30,2021"
Vanish Liquid White Stain Remover - 450ml - Bundle of 2,EGP,45,Vanish,"-450ml package. 
-Safe for white and colored clothes. 
-Super and effective stainan d dirt removal. 
",https://www.jumia.com.eg/vanish-liquid-white-stain-remover-450ml-bundle-of-2-20134924.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/943102/2.jpg?5747,Supermarket,Household Supplies,4.6 out of 5,Jumia,True,True,"September 30,2021"
Durex Fetherlite Ultra - 10 Pcs,EGP,109,Durex,"-Brand: Durex 
-Name: Fetherlite Ultra 
-Size:  10 Pcs 
",https://www.jumia.com.eg/fetherlite-ultra-10-pcs-durex-mpg816290.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/707712/1.jpg?1224,Supermarket,Household Supplies,4.5 out of 5,Jumia,True,True,"September 30,2021"
Veet Wax Strips For Sensitive Skin – 12 PCs,EGP,38,Veet,"-Brand: Veet 
-Wax Strips For Sensitive Skin 
-12 PCs 
",https://www.jumia.com.eg/wax-strips-for-sensitive-skin-12-pcs-veet-mpg816264.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/327712/1.jpg?9537,Supermarket,Household Supplies,4 out of 5,Jumia,True,True,"September 30,2021"
Dettol Surface Disinfectant Cleaner With Trigger Spray - 500 Ml,EGP,39,Dettol,"-Brand: Dettol 
-Name: Surface Disinfectant Cleaner With Trigger Spray 
-Size:  500 Ml 
",https://www.jumia.com.eg/surface-disinfectant-cleaner-with-trigger-spray-500-ml-dettol-mpg816276.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/607712/1.jpg?1073,Supermarket,Household Supplies,4.5 out of 5,Jumia,True,True,"September 30,2021"
Harpic Wave In Toilet Block Sparkling Citrus – 2 Pcs,EGP,32,Harpic,"-Harpic Fresh Power 6 Sparkling Citrus generates cleaning foam, has limescale action while helping with dirt removal, giving the toilet bowl an extra shine that helps maintain a shiny toilet. 
-It can last up to 4 weeks and provides a sweet smiling and pleasant fragrance with added cleaning foam for extra wash. 
-6 action formula with superior foaming 
-Lasts for upto 4 weeks, giving constant results 
-Unique wave shape for durability 
-Colourful & aesthetically pleasing in the bowl and offers new range of pleasant fragrances 
",https://www.jumia.com.eg/harpic-wave-in-toilet-block-sparkling-citrus-2-pcs-20134917.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/943102/1.jpg?9761,Supermarket,Household Supplies,4.5 out of 5,Jumia,True,True,"September 30,2021"
Dettol Original Hand Sanitizer - 50 Ml.,EGP,21,Dettol,"-Brand: Dettol 
-Name: Original Hand Sanitizer 
-Size:  50 Ml 
",https://www.jumia.com.eg/original-hand-sanitizer-50-ml.-dettol-mpg816297.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/707712/1.jpg?0668,Supermarket,Household Supplies,4.5 out of 5,Jumia,True,True,"September 30,2021"
Harpic Waves Purple Lavender Toilet Cleaner - 35gm,EGP,20,Harpic,"-Caged toilet rim block that helps prevent limescale and is effective on stains 
-6 action formula with superior foaming 
-Lasts for upto 4 weeks, giving constant results 
-Unique wave shape for durability 
-Colourful & aesthetically pleasing in the bowl and offers new range of pleasant fragrances 
",https://www.jumia.com.eg/harpic-waves-purple-lavender-toilet-cleaner-35gm-20134920.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/943102/1.jpg?9808,Supermarket,Household Supplies,4.6 out of 5,Jumia,True,True,"September 30,2021"
Dettol 4 in 1 Multi Action Cleaner - Aqua – 650 ml,EGP,29,Dettol,"-Brand: Dettol 
-4 in 1 Multi Action Cleaner 
-Aqua 
-650 ml 
",https://www.jumia.com.eg/4-in-1-multi-action-cleaner-aqua-650-ml-dettol-mpg816247.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/327712/1.jpg?9831,Supermarket,Household Supplies,4.7 out of 5,Jumia,True,True,"September 30,2021"
Harpic Waves Marine Splash Toilet Cleaner – 35gm,EGP,18,Harpic,"-Maintains a shiny toiletRemoves dirtAnti-limescaleLasts up to 4 weeksSpreads a Pleasant FragranceGenerates cleaning foam 
",https://www.jumia.com.eg/harpic-waves-marine-splash-toilet-cleaner-35gm-20134921.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/943102/1.jpg?9832,Supermarket,Household Supplies,4.7 out of 5,Jumia,True,True,"September 30,2021"
Clorox 5X1 Disinfecting Household Cleaner Pouch - Lavender - 200ml,EGP,5,Clorox,"-5X1 Disinfecting Household Cleaner Pouch 
-Lavender 
-200ml 
",https://www.jumia.com.eg/clorox-5x1-disinfecting-household-cleaner-pouch-lavender-200ml-17653056.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/035671/1.jpg?6627,Supermarket,Household Supplies,4.6 out of 5,Jumia,True,True,"September 30,2021"
Arix Colorful Sponge Scourer - 10 Pcs,EGP,42,Arix,"-Coloured sponge 
scourer 
-for deep cleaning of stainless steel pots, grills
 and kitchen tools 
-Not to be used on delicate surfaces. Different 
colours for different working area. 
",https://www.jumia.com.eg/arix-colorful-sponge-scourer-10-pcs-15304354.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/340351/1.jpg?7903,Supermarket,Household Supplies,3.9 out of 5,Jumia,True,True,"September 30,2021"
Harpic Powder Plus Disinfectant Toilet Cleaner  – 700ml – 2 Pcs,EGP,59,Harpic,"-Brand: Harpic 
-Powder Plus Disinfectant Toilet Cleaner 
-700ml 
-2 Pcs 
",https://www.jumia.com.eg/harpic-powder-plus-disinfectant-toilet-cleaner-700ml-2-pcs-21163719.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/736112/1.jpg?5507,Supermarket,Household Supplies,4.9 out of 5,Jumia,True,True,"September 30,2021"
Dettol 4 In 1 Aqua Multi Action Cleaner – 1.8 L - 2 PCs,EGP,116,Dettol,"-1.8 ml 
-3x cleaning power on kitchen grease, burnt on food and bathroom dirt 
-Kills 99.9% of bacteria, such as E. coli 
-Can be used neat as well as diluted 
-Leaves a fresh fragrance 
",https://www.jumia.com.eg/4-in-1-aqua-multi-action-cleaner-1.8-l-2-pcs-dettol-mpg816315.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/617091/1.jpg?5148,Supermarket,Household Supplies,4.9 out of 5,Jumia,True,True,"September 30,2021"
Harpic Original Power Plus Toilet Cleaner - 700Ml,EGP,28,Harpic,"-Brand: Harpic 
-Type:Original Power Plus Toilet Cleaner 
-Weight: 700Ml 
",https://www.jumia.com.eg/harpic-original-power-plus-toilet-cleaner-700ml-22644538.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/544622/1.jpg?4158,Supermarket,Household Supplies,0 out of 5,Jumia,True,True,"September 30,2021"
Easy Care Fresh Wipes Gardenia - 40pcs,EGP,15,Easy Care,"-Easy care wipes cleans, refreshes & moisturizes your skin. 
-Easy care wipes is safe for cleaning and refreshing due to its unique Non Alcoholic Perfume, all fragrances are water based , causing no skin irritation 
-Registered at the Ministry of Health 
",https://www.jumia.com.eg/easy-care-fresh-wipes-gardenia-40pcs-20552544.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/525502/1.jpg?2098,Supermarket,Household Supplies,4.2 out of 5,Jumia,True,True,"September 30,2021"
